file,vowel,speaker,dur,f0,f1,f2
w29ae,ae,w,333,238,696,2447
w30ae,ae,w,310,238,687,2378
w31ae,ae,w,364,205,645,2154
w32ae,ae,w,239,208,626,2374
w33ae,ae,w,261,235,689,2701
w34ae,ae,w,277,218,557,2586
w35ae,ae,w,328,211,668,2296
w36ae,ae,w,413,200,746,2371
w37ae,ae,w,405,192,893,2070
w38ae,ae,w,294,219,665,2408
w39ae,ae,w,365,192,564,2442
w40ae,ae,w,301,197,714,2254
w41ae,ae,w,301,216,625,2594
w42ae,ae,w,312,222,552,2227
w44ae,ae,w,353,230,685,2205
w45ae,ae,w,333,208,657,2192
w46ae,ae,w,365,156,649,2508
w47ae,ae,w,327,211,817,2102
w48ae,ae,w,310,210,626,2331
w49ae,ae,w,319,209,706,2400
w50ae,ae,w,357,209,751,2432
b01ae,ae,b,257,238,630,2423
b02ae,ae,b,359,286,829,2495
b03ae,ae,b,335,214,631,2801
b04ae,ae,b,398,239,712,2608
b05ae,ae,b,267,200,748,2589
b07ae,ae,b,323,262,769,2203
b08ae,ae,b,316,216,870,2281
b09ae,ae,b,245,220,709,2565
b10ae,ae,b,396,205,634,2555
b11ae,ae,b,298,209,630,2509
b12ae,ae,b,415,252,736,2505
b13ae,ae,b,281,216,634,2535
b14ae,ae,b,314,198,697,2418
b15ae,ae,b,382,272,607,2620
b16ae,ae,b,367,187,753,2227
b17ae,ae,b,352,246,726,2231
b18ae,ae,b,307,249,741,2444
b19ae,ae,b,312,209,674,2663
b21ae,ae,b,352,205,769,2234
b22ae,ae,b,256,229,678,2524
b23ae,ae,b,346,267,809,2592
b24ae,ae,b,216,206,545,2690
b25ae,ae,b,284,223,669,2440
b26ae,ae,b,451,220,643,2434
b27ae,ae,b,243,211,634,2410
b28ae,ae,b,284,227,676,2253
b29ae,ae,b,291,212,860,2503
g01ae,ae,g,295,242,741,2433
g02ae,ae,g,283,196,729,2878
g04ae,ae,g,385,255,932,2523
g05ae,ae,g,456,227,682,2638
g06ae,ae,g,292,222,799,2397
g07ae,ae,g,341,242,722,2418
g08ae,ae,g,384,266,695,2704
g09ae,ae,g,382,265,758,2373
g10ae,ae,g,311,237,946,2540
g11ae,ae,g,353,230,648,2334
g12ae,ae,g,322,240,730,2668
g13ae,ae,g,301,251,752,2501
g14ae,ae,g,306,194,717,2313
g15ae,ae,g,354,226,888,2605
g17ae,ae,g,308,208,727,2394
g18ae,ae,g,317,219,591,2632
g19ae,ae,g,238,248,747,2703
g20ae,ae,g,290,227,672,2484
g21ae,ae,g,250,227,555,2569
m01ah,ah,m,316,159,813,1283
m02ah,ah,m,249,101,749,1060
m03ah,ah,m,373,97,755,1133
m04ah,ah,m,302,127,832,1222
m06ah,ah,m,230,112,871,1204
m07ah,ah,m,265,98,786,1341
m08ah,ah,m,302,115,748,1293
m09ah,ah,m,330,122,738,1394
m10ah,ah,m,271,152,763,1147
m11ah,ah,m,321,148,829,1444
m13ah,ah,m,256,104,825,1429
m14ah,ah,m,278,100,737,1298
m16ah,ah,m,192,145,679,1208
m17ah,ah,m,243,132,689,1064
m18ah,ah,m,342,135,702,1364
m19ah,ah,m,269,148,811,1355
m20ah,ah,m,272,135,744,1489
m21ah,ah,m,206,114,758,1363
m22ah,ah,m,287,115,784,1345
m23ah,ah,m,278,107,802,1297
m24ah,ah,m,258,131,803,1234
m25ah,ah,m,256,116,683,1238
m26ah,ah,m,271,124,697,1370
m27ah,ah,m,212,106,743,1423
m28ah,ah,m,154,173,710,1084
m29ah,ah,m,220,123,825,1438
m30ah,ah,m,290,101,673,1301
m31ah,ah,m,184,160,707,1421
m32ah,ah,m,216,146,697,1293
m33ah,ah,m,272,135,816,1361
m34ah,ah,m,250,115,722,1411
m35ah,ah,m,269,109,748,1274
m36ah,ah,m,252,116,744,1388
m37ah,ah,m,219,127,700,1295
m38ah,ah,m,192,148,705,1323
m39ah,ah,m,287,139,963,1524
m40ah,ah,m,254,126,711,1428
m41ah,ah,m,213,138,712,1325
m42ah,ah,m,292,140,821,1283
m44ah,ah,m,286,101,822,1315
m45ah,ah,m,285,180,753,1200
m47ah,ah,m,301,120,662,1183
m48ah,ah,m,207,122,682,1259
m49ah,ah,m,270,124,818,1315
m50ah,ah,m,250,110,710,1483
w01ah,ah,w,265,211,1012,1603
w02ah,ah,w,443,209,883,1682
w03ah,ah,w,257,192,1025,1548
w04ah,ah,w,350,216,804,1484
w05ah,ah,w,365,226,935,1377
w06ah,ah,w,329,211,804,1363
w07ah,ah,w,306,173,939,1233
w08ah,ah,w,317,243,827,1701
w09ah,ah,w,282,240,913,1436
w10ah,ah,w,367,223,856,1540
w11ah,ah,w,380,191,882,1380
w12ah,ah,w,343,216,887,1743
w13ah,ah,w,329,226,869,1495
w14ah,ah,w,275,211,994,1609
w15ah,ah,w,340,226,955,1615
w16ah,ah,w,305,189,1085,1687
w17ah,ah,w,267,205,937,1623
w19ah,ah,w,316,239,918,1640
w20ah,ah,w,365,193,818,1351
w21ah,ah,w,402,216,769,1451
w22ah,ah,w,350,178,1008,1495
w23ah,ah,w,329,207,905,1514
w24ah,ah,w,303,259,1063,1680
w25ah,ah,w,430,212,1053,1677
w26ah,ah,w,333,170,798,1351
w27ah,ah,w,284,250,869,1751
w28ah,ah,w,217,235,863,1538
w29ah,ah,w,303,248,938,1462
w30ah,ah,w,293,232,957,1591
w31ah,ah,w,315,202,827,1543
w32ah,ah,w,240,213,708,1547
w33ah,ah,w,283,241,1163,1685
w34ah,ah,w,247,211,1011,1541
w35ah,ah,w,310,201,1035,1486
w36ah,ah,w,455,208,952,1676
w37ah,ah,w,419,175,810,1314
w38ah,ah,w,336,217,993,1671
w39ah,ah,w,338,212,931,1348
w40ah,ah,w,297,198,822,1371
w41ah,ah,w,298,200,875,1491
w42ah,ah,w,268,226,884,1568
w44ah,ah,w,340,212,938,1492
w45ah,ah,w,312,195,914,1383
w46ah,ah,w,334,150,901,1509
w47ah,ah,w,302,207,975,1534
w48ah,ah,w,346,218,796,1502
w49ah,ah,w,326,224,1145,0
w50ah,ah,w,357,234,968,1433
b01ah,ah,b,212,241,831,1676
b02ah,ah,b,328,276,1020,1555
b03ah,ah,b,298,214,982,1823
b04ah,ah,b,357,250,932,1874
b05ah,ah,b,270,227,1052,1659
b07ah,ah,b,294,308,881,1543
b08ah,ah,b,340,202,762,1604
b09ah,ah,b,285,230,987,1610
b10ah,ah,b,413,209,1123,1640
b11ah,ah,b,282,203,832,1602
b12ah,ah,b,425,258,968,1808
b13ah,ah,b,273,211,933,1694
b14ah,ah,b,263,201,998,1560
b15ah,ah,b,340,287,871,2042
b16ah,ah,b,364,187,859,0
b17ah,ah,b,327,245,898,1544
b18ah,ah,b,281,254,1010,1705
b19ah,ah,b,292,218,951,1982
b21ah,ah,b,363,226,1010,1604
b22ah,ah,b,350,263,854,1518
b23ah,ah,b,292,277,1119,1588
b24ah,ah,b,238,228,1205,0
b25ah,ah,b,295,220,872,1565
b26ah,ah,b,314,210,776,1490
b27ah,ah,b,270,223,1147,1553
b28ah,ah,b,271,221,1065,1483
b29ah,ah,b,285,227,944,1540
g01ah,ah,g,276,238,894,1420
g02ah,ah,g,298,208,1312,1820
g04ah,ah,g,324,246,1007,1742
g05ah,ah,g,375,204,978,1817
g06ah,ah,g,275,225,1026,1544
g07ah,ah,g,384,227,843,1803
g08ah,ah,g,407,249,993,2000
g09ah,ah,g,321,245,1197,1734
g10ah,ah,g,282,218,855,1845
g11ah,ah,g,298,240,1047,1488
g12ah,ah,g,317,200,1154,1932
g13ah,ah,g,334,241,931,1749
g14ah,ah,g,308,189,954,1472
g15ah,ah,g,299,233,1316,1752
g17ah,ah,g,304,248,911,1624
g18ah,ah,g,416,214,1033,1929
g19ah,ah,g,220,235,1129,2005
g20ah,ah,g,259,234,1145,1655
g21ah,ah,g,186,215,1021,1720
m01aw,aw,m,330,177,699,996
m02aw,aw,m,289,106,644,856
m03aw,aw,m,355,93,647,926
m04aw,aw,m,347,131,694,970
m06aw,aw,m,250,115,740,999
m07aw,aw,m,292,96,642,949
m08aw,aw,m,294,120,651,1033
m09aw,aw,m,342,123,620,1068
m10aw,aw,m,296,151,637,923
m11aw,aw,m,363,162,695,1108
m13aw,aw,m,283,104,664,1024
m14aw,aw,m,248,108,664,1043
m16aw,aw,m,223,142,628,1069
m17aw,aw,m,278,142,634,987
m18aw,aw,m,320,146,662,1001
m19aw,aw,m,274,154,653,1020
m20aw,aw,m,287,138,648,1013
m21aw,aw,m,253,107,631,1019
m22aw,aw,m,316,120,688,1139
m23aw,aw,m,292,111,696,983
m24aw,aw,m,248,127,691,1111
m25aw,aw,m,249,109,587,941
m26aw,aw,m,282,111,636,978
m27aw,aw,m,171,103,686,1064
m28aw,aw,m,222,122,681,1060
m29aw,aw,m,226,117,720,1063
m30aw,aw,m,344,92,619,1012
m31aw,aw,m,196,155,640,1149
m32aw,aw,m,195,144,633,995
m33aw,aw,m,268,133,649,1048
m34aw,aw,m,239,116,623,1012
m35aw,aw,m,304,106,645,1049
m36aw,aw,m,300,112,645,1063
m37aw,aw,m,202,130,606,991
m38aw,aw,m,229,142,636,1108
m39aw,aw,m,196,124,670,919
m40aw,aw,m,281,131,631,1167
m41aw,aw,m,249,134,687,1062
m42aw,aw,m,328,131,684,1000
m44aw,aw,m,301,100,684,1001
m45aw,aw,m,293,184,704,1052
m47aw,aw,m,300,121,591,974
m48aw,aw,m,242,118,611,1067
m49aw,aw,m,293,121,643,931
m50aw,aw,m,277,109,679,1102
w01aw,aw,w,305,218,815,1200
w02aw,aw,w,464,211,760,1225
w03aw,aw,w,326,186,772,1051
w04aw,aw,w,379,203,770,1245
w05aw,aw,w,363,231,923,1368
w06aw,aw,w,363,212,778,1220
w07aw,aw,w,314,167,809,1097
w08aw,aw,w,320,242,815,1426
w09aw,aw,w,309,241,890,1063
w10aw,aw,w,416,225,771,1170
w11aw,aw,w,380,197,755,1114
w12aw,aw,w,397,227,930,1422
w13aw,aw,w,363,234,697,1142
w14aw,aw,w,266,223,748,1063
w15aw,aw,w,394,229,827,1189
w16aw,aw,w,342,201,847,1192
w17aw,aw,w,341,211,794,1185
w19aw,aw,w,327,241,848,1175
w20aw,aw,w,344,185,713,1132
w21aw,aw,w,465,226,698,1127
w22aw,aw,w,318,191,736,1120
w23aw,aw,w,362,209,835,1326
w24aw,aw,w,366,247,907,1527
w25aw,aw,w,414,205,811,1254
w26aw,aw,w,378,180,656,1075
w27aw,aw,w,284,244,890,1292
w28aw,aw,w,262,217,860,1504
w29aw,aw,w,327,212,740,1037
w30aw,aw,w,319,233,867,1207
w31aw,aw,w,384,194,776,1324
w32aw,aw,w,287,226,699,1104
w33aw,aw,w,328,241,906,1386
w34aw,aw,w,253,210,814,1144
w35aw,aw,w,331,207,801,1187
w36aw,aw,w,422,213,822,1177
w37aw,aw,w,413,196,851,1105
w38aw,aw,w,327,219,825,1213
w39aw,aw,w,369,211,752,1101
w40aw,aw,w,303,200,765,997
w41aw,aw,w,332,198,957,0
w42aw,aw,w,387,237,799,1146
w44aw,aw,w,390,222,715,963
w45aw,aw,w,351,196,790,1044
w46aw,aw,w,396,162,850,1182
w47aw,aw,w,310,206,813,1117
w48aw,aw,w,355,221,736,1098
w49aw,aw,w,318,219,677,1054
w50aw,aw,w,361,246,995,1359
b01aw,aw,b,242,247,725,1384
b02aw,aw,b,327,263,802,1287
b03aw,aw,b,334,207,805,1299
b04aw,aw,b,304,244,817,1329
b05aw,aw,b,236,199,780,1236
b07aw,aw,b,378,301,891,1383
b08aw,aw,b,353,207,610,993
b09aw,aw,b,313,238,845,1111
b10aw,aw,b,316,208,695,1288
b11aw,aw,b,331,194,761,1310
b12aw,aw,b,369,251,985,1630
b13aw,aw,b,322,210,875,1402
b14aw,aw,b,243,206,950,1246
b15aw,aw,b,312,258,750,1251
b16aw,aw,b,367,201,819,1074
b17aw,aw,b,315,264,744,1093
b18aw,aw,b,269,249,808,1467
b19aw,aw,b,294,222,820,1356
b21aw,aw,b,376,240,831,0
b22aw,aw,b,384,249,746,1309
b23aw,aw,b,313,268,765,1067
b24aw,aw,b,196,203,770,1010
b25aw,aw,b,340,213,839,1240
b26aw,aw,b,362,220,635,1163
b27aw,aw,b,250,215,792,1268
b28aw,aw,b,267,216,640,929
b29aw,aw,b,305,214,941,1409
g01aw,aw,g,349,240,867,1292
g02aw,aw,g,249,217,875,1501
g04aw,aw,g,430,244,885,1415
g05aw,aw,g,368,210,882,1309
g06aw,aw,g,300,224,888,1266
g07aw,aw,g,342,233,697,1358
g08aw,aw,g,377,270,787,1234
g09aw,aw,g,425,301,932,1445
g10aw,aw,g,285,226,893,1563
g11aw,aw,g,380,232,898,1359
g12aw,aw,g,323,241,952,1665
g13aw,aw,g,339,234,823,1356
g14aw,aw,g,332,214,854,1109
g15aw,aw,g,360,239,894,1366
g17aw,aw,g,291,233,757,1242
g18aw,aw,g,441,215,1062,0
g19aw,aw,g,218,221,1090,1465
g20aw,aw,g,274,246,998,1368
g21aw,aw,g,259,218,1001,1488
m01eh,eh,m,266,171,609,1980
m02eh,eh,m,167,103,517,1917
m03eh,eh,m,284,95,559,1695
m04eh,eh,m,229,127,698,1580
m06eh,eh,m,177,115,555,1851
m07eh,eh,m,197,104,571,1926
m08eh,eh,m,239,126,582,1768
m09eh,eh,m,239,120,560,1697
m10eh,eh,m,186,154,594,1716
m11eh,eh,m,261,146,569,1709
m13eh,eh,m,203,99,577,1811
m14eh,eh,m,231,110,570,1824
m16eh,eh,m,156,144,546,1750
m17eh,eh,m,181,138,554,1790
m18eh,eh,m,170,131,608,1831
m19eh,eh,m,185,151,562,1816
m20eh,eh,m,199,137,583,1757
m21eh,eh,m,138,128,615,1624
m22eh,eh,m,184,122,630,1786
m23eh,eh,m,227,111,629,1810
m24eh,eh,m,153,119,624,1909
m25eh,eh,m,190,109,559,1755
m26eh,eh,m,207,114,609,1675
m27eh,eh,m,215,104,634,1874
m28eh,eh,m,125,128,636,1893
m29eh,eh,m,177,118,620,1832
m30eh,eh,m,197,98,565,1805
m31eh,eh,m,146,146,571,1752
m32eh,eh,m,166,149,608,1871
m33eh,eh,m,205,131,567,1718
m34eh,eh,m,185,121,541,1743
m35eh,eh,m,244,112,543,1840
m36eh,eh,m,217,114,579,1866
m37eh,eh,m,139,130,568,1687
m38eh,eh,m,158,135,583,1760
m39eh,eh,m,201,150,641,1814
m40eh,eh,m,204,138,623,1937
m41eh,eh,m,188,137,562,1591
m42eh,eh,m,207,161,622,1799
m44eh,eh,m,200,98,561,1786
m45eh,eh,m,200,187,723,2208
m47eh,eh,m,209,127,534,1608
m48eh,eh,m,198,124,574,1813
m49eh,eh,m,172,114,557,1996
m50eh,eh,m,178,115,565,1952
w01eh,eh,w,217,228,734,1893
w02eh,eh,w,432,197,740,2186
w03eh,eh,w,202,218,707,2110
w04eh,eh,w,315,216,693,1991
w05eh,eh,w,260,233,743,1981
w06eh,eh,w,280,211,712,1881
w07eh,eh,w,238,198,734,2141
w08eh,eh,w,199,244,732,2189
w09eh,eh,w,233,246,710,2138
w10eh,eh,w,271,227,704,2023
w11eh,eh,w,317,195,766,1922
w12eh,eh,w,234,210,673,2389
w13eh,eh,w,231,214,651,2157
w14eh,eh,w,241,226,817,2242
w15eh,eh,w,217,222,684,1992
w16eh,eh,w,253,197,756,2008
w17eh,eh,w,188,216,750,1935
w19eh,eh,w,317,238,706,1986
w20eh,eh,w,263,173,717,2256
w21eh,eh,w,281,233,727,1871
w22eh,eh,w,239,180,584,2175
w23eh,eh,w,294,210,762,1902
w24eh,eh,w,231,251,981,2075
w25eh,eh,w,386,211,794,2046
w26eh,eh,w,183,195,620,2071
w27eh,eh,w,236,244,741,1997
w28eh,eh,w,177,223,693,2012
w29eh,eh,w,193,203,597,2426
w30eh,eh,w,221,244,886,2186
w31eh,eh,w,248,214,588,2130
w32eh,eh,w,191,189,755,1762
w33eh,eh,w,194,236,885,2322
w34eh,eh,w,179,214,804,1998
w35eh,eh,w,223,202,718,2005
w36eh,eh,w,368,205,773,2042
w37eh,eh,w,343,191,694,2160
w38eh,eh,w,268,210,680,2068
w39eh,eh,w,259,193,694,2052
w40eh,eh,w,237,185,726,2123
w41eh,eh,w,203,217,714,2255
w42eh,eh,w,250,209,623,1882
w44eh,eh,w,255,221,718,1952
w45eh,eh,w,247,198,758,2091
w46eh,eh,w,284,168,676,2196
w47eh,eh,w,244,217,770,1866
w48eh,eh,w,244,213,683,1851
w49eh,eh,w,221,222,709,2088
w50eh,eh,w,270,219,817,1984
b01eh,eh,b,184,214,713,2095
b02eh,eh,b,195,284,674,2196
b03eh,eh,b,260,191,735,2315
b04eh,eh,b,364,245,735,2448
b05eh,eh,b,207,219,787,2176
b07eh,eh,b,272,297,867,2054
b08eh,eh,b,135,205,605,2445
b09eh,eh,b,193,238,699,2202
b10eh,eh,b,234,218,646,2435
b11eh,eh,b,282,214,794,2066
b12eh,eh,b,363,249,742,2355
b13eh,eh,b,258,227,640,2244
b14eh,eh,b,168,200,806,2172
b15eh,eh,b,312,279,734,2242
b16eh,eh,b,291,202,616,2356
b17eh,eh,b,189,241,749,1869
b18eh,eh,b,195,241,710,1993
b19eh,eh,b,227,203,632,2431
b21eh,eh,b,274,204,642,2015
b22eh,eh,b,212,242,699,2169
b23eh,eh,b,238,270,1057,2426
b24eh,eh,b,165,212,744,2227
b25eh,eh,b,215,232,692,2354
b26eh,eh,b,331,217,668,2106
b27eh,eh,b,192,231,699,2194
b28eh,eh,b,210,221,680,2187
b29eh,eh,b,212,231,856,2304
g01eh,eh,g,202,227,653,2241
g02eh,eh,g,218,188,928,2254
g04eh,eh,g,277,245,802,2427
g05eh,eh,g,328,226,809,2265
g06eh,eh,g,174,222,660,2223
g07eh,eh,g,284,230,649,2268
g08eh,eh,g,294,244,741,2418
g09eh,eh,g,292,238,763,2393
g10eh,eh,g,278,227,816,2404
g11eh,eh,g,227,226,793,2228
g12eh,eh,g,250,236,762,2349
g13eh,eh,g,250,263,759,2488
g14eh,eh,g,297,211,621,2275
g15eh,eh,g,266,226,880,2638
g17eh,eh,g,204,249,755,2137
g18eh,eh,g,258,205,533,2480
g19eh,eh,g,222,229,868,2318
g20eh,eh,g,228,228,882,2524
g21eh,eh,g,227,230,733,2421
m01ei,ei,m,319,166,494,2113
m02ei,ei,m,261,105,438,2196
m03ei,ei,m,353,91,438,2026
m04ei,ei,m,253,134,493,2102
m06ei,ei,m,241,120,497,2024
m07ei,ei,m,281,100,555,2174
m08ei,ei,m,328,133,529,1974
m09ei,ei,m,318,122,446,1918
m10ei,ei,m,273,151,439,2067
m11ei,ei,m,360,141,433,2082
m13ei,ei,m,243,95,439,2126
m14ei,ei,m,256,109,495,2166
m16ei,ei,m,218,143,482,1904
m17ei,ei,m,259,148,435,2013
m18ei,ei,m,338,151,445,2268
m19ei,ei,m,246,156,492,2195
m20ei,ei,m,237,141,535,2004
m21ei,ei,m,196,126,382,2035
m22ei,ei,m,251,121,499,2068
m23ei,ei,m,311,116,477,2110
m24ei,ei,m,274,131,529,2114
m25ei,ei,m,267,112,494,1962
m26ei,ei,m,262,113,504,1878
m27ei,ei,m,252,115,472,2141
m28ei,ei,m,231,124,490,2187
m29ei,ei,m,211,139,393,2305
m30ei,ei,m,338,94,374,2436
m31ei,ei,m,239,158,444,2121
m32ei,ei,m,219,148,500,2159
m33ei,ei,m,311,142,480,2100
m34ei,ei,m,261,116,469,2035
m35ei,ei,m,312,108,438,2003
m36ei,ei,m,269,121,478,2049
m37ei,ei,m,193,140,497,1903
m38ei,ei,m,255,155,477,2073
m39ei,ei,m,286,151,440,2245
m40ei,ei,m,230,142,502,2025
m41ei,ei,m,217,139,501,1944
m42ei,ei,m,319,138,549,1921
m44ei,ei,m,269,101,497,2083
m45ei,ei,m,255,181,537,2493
m47ei,ei,m,282,123,482,1804
m48ei,ei,m,247,120,501,2042
m49ei,ei,m,229,138,441,2348
m50ei,ei,m,256,109,492,2108
w01ei,ei,w,239,227,539,2476
w02ei,ei,w,453,220,477,2704
w03ei,ei,w,263,208,672,2457
w04ei,ei,w,437,226,601,2577
w05ei,ei,w,302,241,487,2600
w06ei,ei,w,318,214,492,2437
w07ei,ei,w,330,186,553,2458
w08ei,ei,w,274,238,496,2665
w09ei,ei,w,222,265,505,2777
w10ei,ei,w,347,220,455,2433
w11ei,ei,w,413,214,574,2316
w12ei,ei,w,329,238,502,2674
w13ei,ei,w,318,236,647,2539
w14ei,ei,w,230,206,596,2478
w15ei,ei,w,325,244,500,2482
w16ei,ei,w,336,207,617,2697
w17ei,ei,w,261,210,558,2505
w19ei,ei,w,334,244,572,2428
w20ei,ei,w,305,203,574,2360
w21ei,ei,w,346,238,498,2218
w22ei,ei,w,269,166,511,2574
w23ei,ei,w,342,211,513,2435
w24ei,ei,w,349,263,617,2668
w25ei,ei,w,399,212,610,2598
w26ei,ei,w,420,171,485,2423
w27ei,ei,w,284,243,578,2474
w28ei,ei,w,231,234,507,2573
w29ei,ei,w,280,246,504,2501
w30ei,ei,w,313,245,494,2680
w31ei,ei,w,338,212,487,2408
w32ei,ei,w,277,215,547,2262
w33ei,ei,w,296,247,500,2889
w34ei,ei,w,267,211,433,2773
w35ei,ei,w,314,215,591,2562
w36ei,ei,w,402,211,596,2314
w37ei,ei,w,367,193,500,2622
w38ei,ei,w,310,224,645,2554
w39ei,ei,w,344,198,434,2568
w40ei,ei,w,296,202,543,2399
w41ei,ei,w,298,214,555,2766
w42ei,ei,w,343,232,484,2276
w44ei,ei,w,300,217,442,2464
w45ei,ei,w,319,205,606,2438
w46ei,ei,w,377,160,485,2619
w47ei,ei,w,313,218,472,2616
w48ei,ei,w,309,224,546,2237
w49ei,ei,w,305,214,439,2801
w50ei,ei,w,361,252,664,2455
b01ei,ei,b,222,230,534,2690
b02ei,ei,b,324,277,556,2482
b03ei,ei,b,286,201,608,2836
b04ei,ei,b,323,252,574,2490
b05ei,ei,b,247,215,611,2761
b07ei,ei,b,361,320,629,2663
b08ei,ei,b,285,223,606,2396
b09ei,ei,b,258,235,555,2377
b10ei,ei,b,314,197,580,2754
b11ei,ei,b,309,210,571,2586
b12ei,ei,b,357,260,554,2620
b13ei,ei,b,280,242,532,2673
b14ei,ei,b,260,203,436,2658
b15ei,ei,b,382,262,558,2643
b16ei,ei,b,346,193,564,2523
b17ei,ei,b,245,250,499,2356
b18ei,ei,b,265,257,621,2476
b19ei,ei,b,285,222,652,2661
b21ei,ei,b,465,232,463,2745
b22ei,ei,b,322,250,558,2559
b23ei,ei,b,336,271,586,2720
b24ei,ei,b,199,212,613,2593
b25ei,ei,b,294,219,441,2585
b26ei,ei,b,426,233,654,2549
b27ei,ei,b,293,239,494,2823
b28ei,ei,b,309,239,510,2438
b29ei,ei,b,289,236,655,2772
g01ei,ei,g,320,243,496,2670
g02ei,ei,g,286,211,648,2788
g04ei,ei,g,350,266,561,2663
g05ei,ei,g,321,220,638,2553
g06ei,ei,g,261,225,542,2755
g07ei,ei,g,421,242,544,2444
g08ei,ei,g,438,257,513,2881
g09ei,ei,g,364,258,536,2859
g10ei,ei,g,310,236,740,2651
g11ei,ei,g,315,240,494,2676
g12ei,ei,g,293,262,594,2733
g13ei,ei,g,345,258,550,2780
g14ei,ei,g,351,222,564,2455
g15ei,ei,g,386,237,497,2804
g17ei,ei,g,280,258,575,2502
g18ei,ei,g,325,209,570,3256
g19ei,ei,g,223,234,618,2752
g20ei,ei,g,294,249,540,2687
g21ei,ei,g,259,235,558,2533
m01er,er,m,324,175,506,1418
m02er,er,m,296,111,457,1406
m03er,er,m,368,94,479,1252
m04er,er,m,332,134,460,1473
m06er,er,m,217,117,489,1338
m07er,er,m,272,96,493,1270
m08er,er,m,282,131,501,1334
m09er,er,m,342,137,466,1377
m10er,er,m,249,154,459,1367
m11er,er,m,340,140,438,1387
m13er,er,m,268,110,439,1220
m14er,er,m,287,106,506,1464
m16er,er,m,204,147,439,1387
m17er,er,m,256,140,429,1389
m18er,er,m,298,139,504,1386
m19er,er,m,243,154,505,1330
m20er,er,m,356,156,457,1437
m21er,er,m,185,122,463,1371
m22er,er,m,256,120,491,1455
m23er,er,m,274,117,504,1173
m24er,er,m,258,134,513,1342
m25er,er,m,260,116,474,1505
m26er,er,m,252,121,505,1450
m27er,er,m,231,116,442,1517
m28er,er,m,201,140,496,1500
m29er,er,m,206,118,453,1432
m30er,er,m,310,103,430,1294
m31er,er,m,210,146,435,1289
m32er,er,m,202,151,491,1370
m33er,er,m,270,129,477,1376
m34er,er,m,252,115,447,1400
m35er,er,m,271,112,440,1447
m36er,er,m,290,119,493,1428
m37er,er,m,212,130,478,1440
m38er,er,m,206,142,451,1314
m39er,er,m,260,138,467,1432
m40er,er,m,266,127,505,1447
m41er,er,m,214,150,461,1297
m42er,er,m,326,143,557,1344
m44er,er,m,252,105,491,1300
m45er,er,m,255,196,486,1372
m47er,er,m,259,133,443,1262
m48er,er,m,248,116,489,1493
